Date,HomeTeam,AwayTeam,FTHG,FTAG
05/11/2023,Alaves,Almeria,1,0
05/11/2023,Valencia,Granada,1,0
05/11/2023,Villarreal,Ath Bilbao,2,3
05/11/2023,Real Madrid,Vallecano,0,0
06/11/2023,Getafe,Cadiz,1,0
10/11/2023,Ath Bilbao,Celta,4,3
11/11/2023,Vallecano,Girona,1,2
11/11/2023,Almeria,Sociedad,1,3
11/11/2023,Granada,Getafe,1,1
11/11/2023,Osasuna,Las Palmas,1,1
11/11/2023,Real Madrid,Valencia,5,1
12/11/2023,Barcelona,Alaves,2,1
12/11/2023,Sevilla,Betis,1,1
12/11/2023,Ath Madrid,Villarreal,3,1
24/11/2023,Alaves,Granada,3,1
25/11/2023,Vallecano,Barcelona,1,1
25/11/2023,Valencia,Celta,0,0
25/11/2023,Getafe,Almeria,2,1
25/11/2023,Ath Madrid,Mallorca,1,0
26/11/2023,Villarreal,Osasuna,3,1
26/11/2023,Sociedad,Sevilla,2,1
26/11/2023,Cadiz,Real Madrid,0,3
26/11/2023,Betis,Las Palmas,1,0
27/11/2023,Girona,Ath Bilbao,1,1
29/11/2023,Mallorca,Cadiz,1,1
01/12/2023,Las Palmas,Getafe,2,0
02/12/2023,Girona,Valencia,2,1
02/12/2023,Ath Bilbao,Vallecano,4,0
02/12/2023,Real Madrid,Granada,2,0
02/12/2023,Osasuna,Sociedad,1,1
03/12/2023,Mallorca,Alaves,0,0
03/12/2023,Almeria,Betis,0,0
03/12/2023,Sevilla,Villarreal,1,1
03/12/2023,Barcelona,Ath Madrid,1,0
04/12/2023,Celta,Cadiz,1,1
08/12/2023,Getafe,Valencia,1,0
09/12/2023,Alaves,Las Palmas,0,1
09/12/2023,Betis,Real Madrid,1,1
09/12/2023,Villarreal,Sociedad,0,3
09/12/2023,Mallorca,Sevilla,1,0
10/12/2023,Ath Madrid,Almeria,2,1
10/12/2023,Cadiz,Osasuna,1,1
10/12/2023,Barcelona,Girona,2,4
11/12/2023,Granada,Ath Bilbao,1,1
11/12/2023,Vallecano,Celta,0,0
15/12/2023,Osasuna,Vallecano,1,0
16/12/2023,Celta,Granada,1,0
16/12/2023,Ath Bilbao,Ath Madrid,2,0
16/12/2023,Sevilla,Getafe,0,3
16/12/2023,Valencia,Barcelona,1,1
17/12/2023,Almeria,Mallorca,0,0
17/12/2023,Sociedad,Betis,0,0
17/12/2023,Las Palmas,Cadiz,1,1
17/12/2023,Real Madrid,Villarreal,4,1
18/12/2023,Girona,Alaves,3,0
19/12/2023,Vallecano,Valencia,0,1
19/12/2023,Ath Madrid,Getafe,3,3
19/12/2023,Granada,Sevilla,0,3
20/12/2023,Barcelona,Almeria,3,2
20/12/2023,Ath Bilbao,Las Palmas,1,0
20/12/2023,Villarreal,Celta,3,2
21/12/2023,Betis,Girona,1,1
21/12/2023,Cadiz,Sociedad,0,0
21/12/2023,Alaves,Real Madrid,0,1
21/12/2023,Mallorca,Osasuna,3,2
23/12/2023,Ath Madrid,Sevilla,1,0
02/01/2024,Getafe,Vallecano,0,2
02/01/2024,Sociedad,Alaves,1,1
02/01/2024,Valencia,Villarreal,3,1
03/01/2024,Granada,Cadiz,2,0
03/01/2024,Celta,Betis,2,1
03/01/2024,Real Madrid,Mallorca,1,0
03/01/2024,Girona,Ath Madrid,4,3
04/01/2024,Osasuna,Almeria,1,0
04/01/2024,Sevilla,Ath Bilbao,0,2
04/01/2024,Las Palmas,Barcelona,1,2
12/01/2024,Sevilla,Alaves,2,3
13/01/2024,Las Palmas,Villarreal,3,0
13/01/2024,Mallorca,Celta,1,1
13/01/2024,Ath Bilbao,Sociedad,2,1
13/01/2024,Betis,Granada,1,0
14/01/2024,Almeria,Girona,0,0
14/01/2024,Cadiz,Valencia,1,4
19/01/2024,Alaves,Cadiz,1,0
20/01/2024,Vallecano,Las Palmas,0,2
20/01/2024,Villarreal,Mallorca,1,1
20/01/2024,Valencia,Ath Bilbao,1,0
20/01/2024,Celta,Sociedad,0,1
21/01/2024,Osasuna,Getafe,3,2
21/01/2024,Real Madrid,Almeria,3,2
21/01/2024,Betis,Barcelona,2,4
21/01/2024,Girona,Sevilla,5,1
22/01/2024,Granada,Ath Madrid,0,1
26/01/2024,Almeria,Alaves,0,3
27/01/2024,Sociedad,Vallecano,0,0
27/01/2024,Las Palmas,Real Madrid,1,2
27/01/2024,Barcelona,Villarreal,3,5
27/01/2024,Mallorca,Betis,0,1
28/01/2024,Celta,Girona,0,1
28/01/2024,Cadiz,Ath Bilbao,0,0
28/01/2024,Sevilla,Osasuna,1,1
28/01/2024,Ath Madrid,Valencia,2,0
29/01/2024,Getafe,Granada,2,0
31/01/2024,Barcelona,Osasuna,1,0
31/01/2024,Ath Madrid,Vallecano,2,1
01/02/2024,Getafe,Real Madrid,0,2
02/02/2024,Ath Bilbao,Mallorca,4,0
03/02/2024,Valencia,Almeria,2,1
03/02/2024,Granada,Las Palmas,1,1
03/02/2024,Alaves,Barcelona,1,3
03/02/2024,Girona,Sociedad,0,0
04/02/2024,Villarreal,Cadiz,0,0
04/02/2024,Osasuna,Celta,0,3
04/02/2024,Betis,Getafe,1,1
04/02/2024,Real Madrid,Ath Madrid,1,1
05/02/2024,Vallecano,Sevilla,1,2
09/02/2024,Cadiz,Betis,0,2
10/02/2024,Alaves,Villarreal,1,1
10/02/2024,Sociedad,Osasuna,0,1
10/02/2024,Real Madrid,Girona,4,0
10/02/2024,Las Palmas,Valencia,2,0
11/02/2024,Getafe,Celta,3,2
11/02/2024,Mallorca,Vallecano,2,1
11/02/2024,Sevilla,Ath Madrid,1,0
11/02/2024,Barcelona,Granada,3,3
12/02/2024,Almeria,Ath Bilbao,0,0
16/02/2024,Villarreal,Getafe,1,1
17/02/2024,Ath Madrid,Las Palmas,5,0
17/02/2024,Osasuna,Cadiz,2,0
17/02/2024,Celta,Barcelona,1,2
17/02/2024,Valencia,Sevilla,0,0
18/02/2024,Vallecano,Real Madrid,1,1
18/02/2024,Granada,Almeria,1,1
18/02/2024,Mallorca,Sociedad,1,2
18/02/2024,Betis,Alaves,0,0
19/02/2024,Ath Bilbao,Girona,3,2
23/02/2024,Sociedad,Villarreal,1,3
24/02/2024,Barcelona,Getafe,4,0
24/02/2024,Alaves,Mallorca,1,1
24/02/2024,Almeria,Ath Madrid,2,2
25/02/2024,Cadiz,Celta,2,2
25/02/2024,Betis,Ath Bilbao,3,1
25/02/2024,Las Palmas,Osasuna,1,1
25/02/2024,Real Madrid,Sevilla,1,0
26/02/2024,Girona,Vallecano,3,0
01/03/2024,Celta,Almeria,1,0
02/03/2024,Sevilla,Sociedad,3,2
02/03/2024,Vallecano,Cadiz,1,1
02/03/2024,Getafe,Las Palmas,3,3
02/03/2024,Valencia,Real Madrid,2,2
03/03/2024,Villarreal,Granada,5,1
03/03/2024,Ath Madrid,Betis,2,1
03/03/2024,Mallorca,Girona,1,0
03/03/2024,Ath Bilbao,Barcelona,0,0
04/03/2024,Osasuna,Alaves,1,0
08/03/2024,Barcelona,Mallorca,1,0
09/03/2024,Valencia,Getafe,1,0
09/03/2024,Cadiz,Ath Madrid,2,0
09/03/2024,Granada,Sociedad,2,3
09/03/2024,Girona,Osasuna,2,0
10/03/2024,Alaves,Vallecano,1,0
10/03/2024,Las Palmas,Ath Bilbao,0,2
10/03/2024,Real Madrid,Celta,4,0
10/03/2024,Betis,Villarreal,2,3
11/03/2024,Almeria,Sevilla,2,2
15/03/2024,Sociedad,Cadiz,2,0
16/03/2024,Mallorca,Granada,1,0
16/03/2024,Osasuna,Real Madrid,2,4
16/03/2024,Getafe,Girona,1,0
16/03/2024,Ath Bilbao,Alaves,2,0
17/03/2024,Sevilla,Celta,1,2
17/03/2024,Las Palmas,Almeria,0,1
17/03/2024,Villarreal,Valencia,1,0
17/03/2024,Vallecano,Betis,2,0
17/03/2024,Ath Madrid,Barcelona,0,3
29/03/2024,Cadiz,Granada,1,0
30/03/2024,Getafe,Sevilla,0,1
30/03/2024,Almeria,Osasuna,0,3
30/03/2024,Valencia,Mallorca,0,0
30/03/2024,Barcelona,Las Palmas,1,0
31/03/2024,Celta,Vallecano,0,0
31/03/2024,Girona,Betis,3,2
31/03/2024,Alaves,Sociedad,0,1
31/03/2024,Real Madrid,Ath Bilbao,2,0
01/04/2024,Villarreal,Ath Madrid,1,2
04/04/2024,Granada,Valencia,0,1
12/04/2024,Betis,Celta,2,1
13/04/2024,Ath Madrid,Girona,3,1
13/04/2024,Vallecano,Getafe,0,0
13/04/2024,Mallorca,Real Madrid,0,1
13/04/2024,Cadiz,Barcelona,0,1
14/04/2024,Las Palmas,Sevilla,0,2
14/04/2024,Granada,Alaves,2,0
14/04/2024,Ath Bilbao,Villarreal,1,1
14/04/2024,Sociedad,Almeria,2,2
15/04/2024,Osasuna,Valencia,0,1
19/04/2024,Ath Bilbao,Granada,1,1
20/04/2024,Celta,Las Palmas,4,1
20/04/2024,Vallecano,Osasuna,2,1
20/04/2024,Valencia,Betis,1,2
20/04/2024,Girona,Cadiz,4,1
21/04/2024,Getafe,Sociedad,1,1
21/04/2024,Almeria,Villarreal,1,2
21/04/2024,Alaves,Ath Madrid,2,0
21/04/2024,Real Madrid,Barcelona,3,2
22/04/2024,Sevilla,Mallorca,2,1
26/04/2024,Sociedad,Real Madrid,0,1
27/04/2024,Las Palmas,Girona,0,2
27/04/2024,Almeria,Getafe,1,3
27/04/2024,Alaves,Celta,3,0
27/04/2024,Ath Madrid,Ath Bilbao,3,1
28/04/2024,Cadiz,Mallorca,1,1
28/04/2024,Granada,Osasuna,3,0
28/04/2024,Villarreal,Vallecano,3,0
28/04/2024,Betis,Sevilla,1,1
29/04/2024,Barcelona,Valencia,4,2
03/05/2024,Getafe,Ath Bilbao,0,2
04/05/2024,Sociedad,Las Palmas,2,0
04/05/2024,Real Madrid,Cadiz,3,0
04/05/2024,Girona,Barcelona,4,2
04/05/2024,Mallorca,Ath Madrid,0,1
05/05/2024,Osasuna,Betis,0,2
05/05/2024,Celta,Villarreal,3,2
05/05/2024,Valencia,Alaves,0,1
05/05/2024,Sevilla,Granada,3,0
05/05/2024,Vallecano,Almeria,0,1
10/05/2024,Alaves,Girona,2,2
11/05/2024,Mallorca,Las Palmas,1,0
11/05/2024,Villarreal,Sevilla,3,2
11/05/2024,Granada,Real Madrid,0,4
11/05/2024,Ath Bilbao,Osasuna,2,2
12/05/2024,Cadiz,Getafe,1,0
12/05/2024,Ath Madrid,Celta,1,0
12/05/2024,Valencia,Vallecano,0,0
12/05/2024,Betis,Almeria,3,2
13/05/2024,Barcelona,Sociedad,2,0
14/05/2024,Osasuna,Mallorca,1,1
14/05/2024,Real Madrid,Alaves,5,0
14/05/2024,Girona,Villarreal,0,1
15/05/2024,Sevilla,Cadiz,0,1
15/05/2024,Vallecano,Granada,2,1
15/05/2024,Celta,Ath Bilbao,2,1
15/05/2024,Getafe,Ath Madrid,0,3
16/05/2024,Las Palmas,Betis,2,2
16/05/2024,Almeria,Barcelona,0,2
16/05/2024,Sociedad,Valencia,1,0
18/05/2024,Alaves,Getafe,1,0
19/05/2024,Ath Bilbao,Sevilla,2,0
19/05/2024,Ath Madrid,Osasuna,1,4
19/05/2024,Barcelona,Vallecano,3,0
19/05/2024,Betis,Sociedad,0,2
19/05/2024,Cadiz,Las Palmas,0,0
19/05/2024,Granada,Celta,1,2
19/05/2024,Mallorca,Almeria,2,2
19/05/2024,Valencia,Girona,1,3
19/05/2024,Villarreal,Real Madrid,4,4
24/05/2024,Girona,Granada,7,0
25/05/2024,Osasuna,Villarreal,1,1
25/05/2024,Sociedad,Ath Madrid,0,2
25/05/2024,Almeria,Cadiz,6,1
25/05/2024,Vallecano,Ath Bilbao,0,1
25/05/2024,Real Madrid,Betis,0,0
26/05/2024,Getafe,Mallorca,1,2
26/05/2024,Celta,Valencia,2,2
26/05/2024,Las Palmas,Alaves,1,1
26/05/2024,Sevilla,Barcelona,1,2
15/08/2024,Ath Bilbao,Getafe,1,1
15/08/2024,Betis,Girona,1,1
16/08/2024,Celta,Alaves,2,1
16/08/2024,Las Palmas,Sevilla,2,2
17/08/2024,Osasuna,Leganes,1,1
17/08/2024,Valencia,Barcelona,1,2
18/08/2024,Sociedad,Vallecano,1,2
18/08/2024,Mallorca,Real Madrid,1,1
19/08/2024,Valladolid,Espanol,1,0
19/08/2024,Villarreal,Ath Madrid,2,2
23/08/2024,Celta,Valencia,3,1
23/08/2024,Sevilla,Villarreal,1,2
24/08/2024,Osasuna,Mallorca,1,0
24/08/2024,Barcelona,Ath Bilbao,2,1
24/08/2024,Espanol,Sociedad,0,1
24/08/2024,Getafe,Vallecano,0,0
25/08/2024,Real Madrid,Valladolid,3,0
25/08/2024,Leganes,Las Palmas,2,1
25/08/2024,Alaves,Betis,0,0
25/08/2024,Ath Madrid,Girona,3,0
26/08/2024,Villarreal,Celta,4,3
27/08/2024,Mallorca,Sevilla,0,0
27/08/2024,Vallecano,Barcelona,1,2
28/08/2024,Ath Bilbao,Valencia,1,0
28/08/2024,Valladolid,Leganes,0,0
28/08/2024,Ath Madrid,Espanol,0,0
28/08/2024,Sociedad,Alaves,1,2
29/08/2024,Girona,Osasuna,4,0
29/08/2024,Las Palmas,Real Madrid,1,1
31/08/2024,Barcelona,Valladolid,7,0
31/08/2024,Ath Bilbao,Ath Madrid,0,1
31/08/2024,Espanol,Vallecano,2,1
31/08/2024,Leganes,Mallorca,0,1
31/08/2024,Valencia,Villarreal,1,1
01/09/2024,Alaves,Las Palmas,2,0
01/09/2024,Osasuna,Celta,3,2
01/09/2024,Sevilla,Girona,0,2
01/09/2024,Getafe,Sociedad,0,0
01/09/2024,Real Madrid,Betis,2,0
13/09/2024,Betis,Leganes,2,0
14/09/2024,Mallorca,Villarreal,1,2
14/09/2024,Espanol,Alaves,3,2
14/09/2024,Sevilla,Getafe,1,0
14/09/2024,Sociedad,Real Madrid,0,2
15/09/2024,Celta,Valladolid,3,1
15/09/2024,Girona,Barcelona,1,4
15/09/2024,Las Palmas,Ath Bilbao,2,3
15/09/2024,Ath Madrid,Valencia,3,0
16/09/2024,Vallecano,Osasuna,3,1
17/09/2024,Mallorca,Sociedad,1,0
18/09/2024,Betis,Getafe,2,1
19/09/2024,Leganes,Ath Bilbao,0,2
20/09/2024,Alaves,Sevilla,2,1
21/09/2024,Valladolid,Sociedad,0,0
21/09/2024,Osasuna,Las Palmas,2,1
21/09/2024,Valencia,Girona,2,0
21/09/2024,Real Madrid,Espanol,4,1
22/09/2024,Getafe,Leganes,1,1
22/09/2024,Ath Bilbao,Celta,3,1
22/09/2024,Villarreal,Barcelona,1,5
22/09/2024,Vallecano,Ath Madrid,1,1
23/09/2024,Betis,Mallorca,1,2
24/09/2024,Sevilla,Valladolid,2,1
24/09/2024,Valencia,Osasuna,0,0
24/09/2024,Real Madrid,Alaves,3,2
25/09/2024,Girona,Vallecano,0,0
25/09/2024,Barcelona,Getafe,1,0
26/09/2024,Espanol,Villarreal,1,2
26/09/2024,Las Palmas,Betis,1,1
26/09/2024,Celta,Ath Madrid,0,1
27/09/2024,Valladolid,Mallorca,1,2
28/09/2024,Getafe,Alaves,2,0
28/09/2024,Vallecano,Leganes,1,1
28/09/2024,Sociedad,Valencia,3,0
28/09/2024,Osasuna,Barcelona,4,2
29/09/2024,Celta,Girona,1,1
29/09/2024,Ath Bilbao,Sevilla,1,1
29/09/2024,Betis,Espanol,1,0
29/09/2024,Ath Madrid,Real Madrid,1,1
30/09/2024,Villarreal,Las Palmas,3,1
04/10/2024,Leganes,Valencia,0,0
05/10/2024,Espanol,Mallorca,2,1
05/10/2024,Getafe,Osasuna,1,1
05/10/2024,Las Palmas,Celta,0,1
05/10/2024,Valladolid,Vallecano,1,2
05/10/2024,Real Madrid,Villarreal,2,0
06/10/2024,Girona,Ath Bilbao,2,1
06/10/2024,Alaves,Barcelona,0,3
06/10/2024,Sevilla,Betis,1,0
06/10/2024,Sociedad,Ath Madrid,1,1
18/10/2024,Alaves,Valladolid,2,3
19/10/2024,Ath Bilbao,Espanol,4,1
19/10/2024,Osasuna,Betis,1,2
19/10/2024,Girona,Sociedad,0,1
19/10/2024,Celta,Real Madrid,1,2
20/10/2024,Mallorca,Vallecano,1,0
20/10/2024,Ath Madrid,Leganes,3,1
20/10/2024,Villarreal,Getafe,1,1
20/10/2024,Barcelona,Sevilla,5,1
21/10/2024,Valencia,Las Palmas,2,3
25/10/2024,Espanol,Sevilla,0,2
26/10/2024,Valladolid,Villarreal,1,2
26/10/2024,Vallecano,Alaves,1,0
26/10/2024,Las Palmas,Girona,1,0
26/10/2024,Real Madrid,Barcelona,0,4
27/10/2024,Leganes,Celta,3,0
27/10/2024,Getafe,Valencia,1,1
27/10/2024,Betis,Ath Madrid,1,0
27/10/2024,Sociedad,Osasuna,0,2
28/10/2024,Mallorca,Ath Bilbao,0,0
01/11/2024,Alaves,Mallorca,1,0
02/11/2024,Osasuna,Valladolid,1,0
02/11/2024,Girona,Leganes,4,3
03/11/2024,Ath Madrid,Las Palmas,2,0
03/11/2024,Barcelona,Espanol,3,1
03/11/2024,Sevilla,Sociedad,0,2
03/11/2024,Ath Bilbao,Betis,1,1
04/11/2024,Celta,Getafe,1,0
08/11/2024,Vallecano,Las Palmas,1,3
09/11/2024,Real Madrid,Osasuna,4,0
09/11/2024,Villarreal,Alaves,3,0
09/11/2024,Leganes,Sevilla,1,0
10/11/2024,Betis,Celta,2,2
10/11/2024,Mallorca,Ath Madrid,0,1
10/11/2024,Getafe,Girona,0,1
10/11/2024,Valladolid,Ath Bilbao,1,1
10/11/2024,Sociedad,Barcelona,1,0
22/11/2024,Getafe,Valladolid,2,0
23/11/2024,Valencia,Betis,4,2
23/11/2024,Ath Madrid,Alaves,2,1
23/11/2024,Girona,Espanol,4,1
23/11/2024,Las Palmas,Mallorca,2,3
23/11/2024,Celta,Barcelona,2,2
24/11/2024,Osasuna,Villarreal,2,2
24/11/2024,Sevilla,Vallecano,1,0
24/11/2024,Leganes,Real Madrid,0,3
24/11/2024,Ath Bilbao,Sociedad,1,0
29/11/2024,Mallorca,Valencia,2,1
30/11/2024,Barcelona,Las Palmas,1,2
30/11/2024,Alaves,Leganes,1,1
30/11/2024,Espanol,Celta,3,1
30/11/2024,Valladolid,Ath Madrid,0,5
01/12/2024,Villarreal,Girona,2,2
01/12/2024,Real Madrid,Getafe,2,0
01/12/2024,Vallecano,Ath Bilbao,1,2
01/12/2024,Sociedad,Betis,2,0
02/12/2024,Sevilla,Osasuna,1,1
03/12/2024,Mallorca,Barcelona,1,5
04/12/2024,Ath Bilbao,Real Madrid,2,1
06/12/2024,Celta,Mallorca,2,0
07/12/2024,Las Palmas,Valladolid,2,1
07/12/2024,Betis,Barcelona,2,2
07/12/2024,Valencia,Vallecano,0,1
07/12/2024,Girona,Real Madrid,0,3
08/12/2024,Leganes,Sociedad,0,3
08/12/2024,Ath Bilbao,Villarreal,2,0
08/12/2024,Osasuna,Alaves,2,2
08/12/2024,Ath Madrid,Sevilla,4,3
09/12/2024,Getafe,Espanol,1,0
13/12/2024,Valladolid,Valencia,1,0
14/12/2024,Espanol,Osasuna,0,0
14/12/2024,Mallorca,Girona,2,1
14/12/2024,Sevilla,Celta,1,0
14/12/2024,Vallecano,Real Madrid,3,3
15/12/2024,Ath Madrid,Getafe,1,0
15/12/2024,Alaves,Ath Bilbao,1,1
15/12/2024,Sociedad,Las Palmas,0,0
15/12/2024,Villarreal,Betis,1,2
15/12/2024,Barcelona,Leganes,0,1
18/12/2024,Espanol,Valencia,1,1
18/12/2024,Villarreal,Vallecano,1,1
20/12/2024,Girona,Valladolid,3,0
21/12/2024,Getafe,Mallorca,0,1
21/12/2024,Celta,Sociedad,2,0
21/12/2024,Osasuna,Ath Bilbao,1,2
21/12/2024,Barcelona,Ath Madrid,1,2
22/12/2024,Valencia,Alaves,2,2
22/12/2024,Real Madrid,Sevilla,4,2
22/12/2024,Las Palmas,Espanol,1,0
22/12/2024,Leganes,Villarreal,2,5
22/12/2024,Betis,Vallecano,1,1
03/01/2025,Valencia,Real Madrid,1,2
10/01/2025,Vallecano,Celta,2,1
11/01/2025,Alaves,Girona,0,1
11/01/2025,Valladolid,Betis,1,0
11/01/2025,Espanol,Leganes,1,1
11/01/2025,Sevilla,Valencia,1,1
12/01/2025,Las Palmas,Getafe,1,2
12/01/2025,Ath Madrid,Osasuna,1,0
13/01/2025,Sociedad,Villarreal,1,0
17/01/2025,Espanol,Valladolid,2,1
18/01/2025,Girona,Sevilla,1,2
18/01/2025,Leganes,Ath Madrid,1,0
18/01/2025,Betis,Alaves,1,3
18/01/2025,Getafe,Barcelona,1,1
19/01/2025,Celta,Ath Bilbao,1,2
19/01/2025,Real Madrid,Las Palmas,4,1
19/01/2025,Osasuna,Vallecano,1,1
19/01/2025,Valencia,Sociedad,1,0
20/01/2025,Villarreal,Mallorca,4,0
24/01/2025,Las Palmas,Osasuna,1,1
25/01/2025,Mallorca,Betis,0,1
25/01/2025,Ath Madrid,Villarreal,1,1
25/01/2025,Sevilla,Espanol,1,1
25/01/2025,Valladolid,Real Madrid,0,3
26/01/2025,Vallecano,Girona,2,1
26/01/2025,Sociedad,Getafe,0,3
26/01/2025,Ath Bilbao,Leganes,0,0
26/01/2025,Barcelona,Valencia,7,1
27/01/2025,Alaves,Celta,1,1
31/01/2025,Leganes,Vallecano,0,1
01/02/2025,Getafe,Sevilla,0,0
01/02/2025,Villarreal,Valladolid,5,1
01/02/2025,Ath Madrid,Mallorca,2,0
01/02/2025,Espanol,Real Madrid,1,0
02/02/2025,Barcelona,Alaves,1,0
02/02/2025,Valencia,Celta,2,1
02/02/2025,Osasuna,Sociedad,2,1
02/02/2025,Betis,Ath Bilbao,2,2
03/02/2025,Girona,Las Palmas,2,1
07/02/2025,Vallecano,Valladolid,1,0
08/02/2025,Celta,Betis,3,2
08/02/2025,Ath Bilbao,Girona,3,0
08/02/2025,Las Palmas,Villarreal,1,2
08/02/2025,Real Madrid,Ath Madrid,1,1
09/02/2025,Alaves,Getafe,0,1
09/02/2025,Valencia,Leganes,2,0
09/02/2025,Sociedad,Espanol,2,1
09/02/2025,Sevilla,Barcelona,1,4
10/02/2025,Mallorca,Osasuna,1,1
14/02/2025,Girona,Getafe,1,2
15/02/2025,Leganes,Alaves,3,3
15/02/2025,Osasuna,Real Madrid,1,1
15/02/2025,Ath Madrid,Celta,1,1
15/02/2025,Villarreal,Valencia,1,1
16/02/2025,Espanol,Ath Bilbao,1,1
16/02/2025,Valladolid,Sevilla,0,4
16/02/2025,Mallorca,Las Palmas,3,1
